baker,last_name,series,episode,baker_age,baker_occupation,hometown,technical,result,signature_bake,show_stopper
John,Whaite,3,7,22,Law student,Wigan,3,IN,Cherry and Almond Saffron Buns,Marzipan Stollen
John,Whaite,3,8,22,Law student,Wigan,3,IN,Asian Spice Crackers,Gingerbread Roman Coliseum
John,Whaite,3,9,22,Law student,Wigan,2,IN,Lemon MadeleinesWhite Chocolate and Raspberry TartletsDark Chocolate and Cherry Macaroons,Gateau St. Honoré a la Passion
John,Whaite,3,10,22,Law student,Wigan,2,WINNER,Italian Sausage and Roasted Vegetable Pithivier,Heaven and Hell Chiffon Cake
Manisha,Parmar,3,1,27,Nursery nurse,Leicester,6,IN,"Vanilla, Peach and Raspberry",White Chocolate Cake with a Red Velvet and White Chocolate Mousse Heart
Manisha,Parmar,3,2,27,Nursery nurse,Leicester,6,IN,Indian FlatbreadsItalian Flatbreads,UNKNOWN
Manisha,Parmar,3,3,27,Nursery nurse,Leicester,10,IN,"Cinnamon, Apple and Pear Tarte Tatin",Rum and Tropical Fruit Tart
Manisha,Parmar,3,4,27,Nursery nurse,Leicester,9,IN,"Almond, Chocolate and Cherry Torte",Tiramisu Layered Meringue Dessert
Manisha,Parmar,3,5,27,Nursery nurse,Leicester,5,OUT,Lamb Wellington with Rosemary and Mint,Banana Scotch Pie
Manisha,Parmar,3,6,27,Nursery nurse,Leicester,NA,NA,NA,NA
Manisha,Parmar,3,7,27,Nursery nurse,Leicester,NA,NA,NA,NA
Manisha,Parmar,3,8,27,Nursery nurse,Leicester,NA,NA,NA,NA
Manisha,Parmar,3,9,27,Nursery nurse,Leicester,NA,NA,NA,NA
Manisha,Parmar,3,10,27,Nursery nurse,Leicester,NA,NA,NA,NA
Natasha,Stringer,3,1,36,Midwife,"Tamworth, Staffordshire",12,OUT,Pineapple & Passion Fruit,Mother's Day Layered Rose Cake
Natasha,Stringer,3,2,36,Midwife,"Tamworth, Staffordshire",NA,NA,NA,NA
Natasha,Stringer,3,3,36,Midwife,"Tamworth, Staffordshire",NA,NA,NA,NA
Natasha,Stringer,3,4,36,Midwife,"Tamworth, Staffordshire",NA,NA,NA,NA
Natasha,Stringer,3,5,36,Midwife,"Tamworth, Staffordshire",NA,NA,NA,NA
Natasha,Stringer,3,6,36,Midwife,"Tamworth, Staffordshire",NA,NA,NA,NA
Natasha,Stringer,3,7,36,Midwife,"Tamworth, Staffordshire",NA,NA,NA,NA
Natasha,Stringer,3,8,36,Midwife,"Tamworth, Staffordshire",NA,NA,NA,NA
Natasha,Stringer,3,9,36,Midwife,"Tamworth, Staffordshire",NA,NA,NA,NA
Natasha,Stringer,3,10,36,Midwife,"Tamworth, Staffordshire",NA,NA,NA,NA
Peter,Maloney,3,1,43,Sales manager,"Windsor, Berkshire",3,IN,"Pear, Muscat & Chocolate",Jubilee Cake
Peter,Maloney,3,2,43,Sales manager,"Windsor, Berkshire",11,OUT,Fennel and Nigella Seed NaanBannock Bread,"Rosemary and Sea Salt Bagels
Apple and Cinnamon Bagels"
Peter,Maloney,3,3,43,Sales manager,"Windsor, Berkshire",NA,NA,NA,NA
Peter,Maloney,3,4,43,Sales manager,"Windsor, Berkshire",NA,NA,NA,NA
Peter,Maloney,3,5,43,Sales manager,"Windsor, Berkshire",NA,NA,NA,NA
Peter,Maloney,3,6,43,Sales manager,"Windsor, Berkshire",NA,NA,NA,NA
Peter,Maloney,3,7,43,Sales manager,"Windsor, Berkshire",NA,NA,NA,NA
Peter,Maloney,3,8,43,Sales manager,"Windsor, Berkshire",NA,NA,NA,NA
Peter,Maloney,3,9,43,Sales manager,"Windsor, Berkshire",NA,NA,NA,NA
Peter,Maloney,3,10,43,Sales manager,"Windsor, Berkshire",NA,NA,NA,NA
Ryan,Chong,3,1,38,Photographer,Bristol,8,IN,Kumquat and Orange Polenta,Hidden Flowerbed Mousse Cake
Ryan,Chong,3,2,38,Photographer,Bristol,5,IN,Shanghai Spring Onion FlatbreadsGarlic and Coriander Naan,"Cinnamon and Date Bagels
Tarragon and Rosemary Bagels"
Ryan,Chong,3,3,38,Photographer,Bristol,5,IN,Spiced Pear Tarte Tatin,UNKNOWN
Ryan,Chong,3,4,38,Photographer,Bristol,7,IN,Green Tea Opera Torte,"Strawberry, Rose and Pistachio Meringue"
Ryan,Chong,3,5,38,Photographer,Bristol,8,STAR BAKER,Curry Spiced Seabass Wellington,Key Lime Pie
Ryan,Chong,3,6,38,Photographer,Bristol,6,IN,Chocolate FondantsSticky Ginger and Date Puddings,"Apple, Sour Cherry, Raisin and Mixed Nuts Strudel"
Ryan,Chong,3,7,38,Photographer,Bristol,6,OUT,Lardy Cakes,Char Siu Bao
Ryan,Chong,3,8,38,Photographer,Bristol,NA,NA,NA,NA
Ryan,Chong,3,9,38,Photographer,Bristol,NA,NA,NA,NA
Ryan,Chong,3,10,38,Photographer,Bristol,NA,NA,NA,NA
Sarah-Jane,Willis,3,1,28,Vicar's wife,"Bewbush, West Sussex",1,IN,"Pear, Chocolate and Hazelnut",Hidden Crown Cake
Sarah-Jane,Willis,3,2,28,Vicar's wife,"Bewbush, West Sussex",10,IN,Toasted Coconut and Lime RotisOatcakes,UNKNOWN
Sarah-Jane,Willis,3,3,28,Vicar's wife,"Bewbush, West Sussex",8,IN,Caramelised Banana Tarte Tatin,French Apple Tart with Blackberry and Cassis Jam
Sarah-Jane,Willis,3,4,28,Vicar's wife,"Bewbush, West Sussex",4,IN,Chocolate and Almond Truffle Torte,Hazelnut Tiramisu Layered Meringue
Sarah-Jane,Willis,3,5,28,Vicar's wife,"Bewbush, West Sussex",4,IN,Beef Wellington with Parma Ham and Gorgonzola Cheese,Chocolate and Banana Cream Pie
Sarah-Jane,Willis,3,6,28,Vicar's wife,"Bewbush, West Sussex",4,IN,Sticky Toffee PuddingsGranny's Saucy Lemon Puddings,Sweet Strudel with Sour Cherries
Sarah-Jane,Willis,3,7,28,Vicar's wife,"Bewbush, West Sussex",7,OUT,"Orange, Nutmeg and Saffron Buns",Sour Cherry and Dark Chocolate Christmas Plait
Sarah-Jane,Willis,3,8,28,Vicar's wife,"Bewbush, West Sussex",NA,NA,NA,NA
Sarah-Jane,Willis,3,9,28,Vicar's wife,"Bewbush, West Sussex",NA,NA,NA,NA
Sarah-Jane,Willis,3,10,28,Vicar's wife,"Bewbush, West Sussex",NA,NA,NA,NA
Stuart,Marston-Smith,3,1,26,PE teacher,"Lichfield, Staffordshire",9,IN,Tomato and Ginger,Lemon and Pistachio Union Flag Cake
Stuart,Marston-Smith,3,2,26,PE teacher,"Lichfield, Staffordshire",9,IN,Bombay BreadChorizo and Spring Onion Naan,"Cinnamon and Cranberry Bagels
Tomato and Thyme Bagels"
Stuart,Marston-Smith,3,3,26,PE teacher,"Lichfield, Staffordshire",7,IN,Pear and Almond Tarte Tatin,Raspberry Triple Chocolate Layered Tart
Stuart,Marston-Smith,3,4,26,PE teacher,"Lichfield, Staffordshire",8,OUT,Black Forest Torte,Choca Blocka Mocha Meringue
Stuart,Marston-Smith,3,5,26,PE teacher,"Lichfield, Staffordshire",NA,NA,NA,NA
Stuart,Marston-Smith,3,6,26,PE teacher,"Lichfield, Staffordshire",NA,NA,NA,NA
Stuart,Marston-Smith,3,7,26,PE teacher,"Lichfield, Staffordshire",NA,NA,NA,NA
Stuart,Marston-Smith,3,8,26,PE teacher,"Lichfield, Staffordshire",NA,NA,NA,NA
Stuart,Marston-Smith,3,9,26,PE teacher,"Lichfield, Staffordshire",NA,NA,NA,NA
Stuart,Marston-Smith,3,10,26,PE teacher,"Lichfield, Staffordshire",NA,NA,NA,NA
Victoria,Chester,3,1,50,CEO of the charity Plantlife,Somerset,4,STAR BAKER,Pear and Pecan,Blackbird Pie Cake
Victoria,Chester,3,2,50,CEO of the charity Plantlife,Somerset,7,IN,Coriander and Lemon NaanGarlic and Parsnip Chapatis,"Saffron and Golden Raisin Bagels
Porcini Bagels"
Victoria,Chester,3,3,50,CEO of the charity Plantlife,Somerset,4,OUT,"Fig, Walnut and Pink Peppercorn Tarte Tatin",Tropical Fruit Tart with Black Pepper Crust
Victoria,Chester,3,4,50,CEO of the charity Plantlife,Somerset,NA,NA,NA,NA
Victoria,Chester,3,5,50,CEO of the charity Plantlife,Somerset,NA,NA,NA,NA
Victoria,Chester,3,6,50,CEO of the charity Plantlife,Somerset,NA,NA,NA,NA
Victoria,Chester,3,7,50,CEO of the charity Plantlife,Somerset,NA,NA,NA,NA
Victoria,Chester,3,8,50,CEO of the charity Plantlife,Somerset,NA,NA,NA,NA
Victoria,Chester,3,9,50,CEO of the charity Plantlife,Somerset,NA,NA,NA,NA
Victoria,Chester,3,10,50,CEO of the charity Plantlife,Somerset,NA,NA,NA,NA
Ali,Imdad,4,1,25,Charity worker,"Saltley, Birmingham",11,IN,Rose and Pistachio Cake,"Chocolate, Raspberry and Passion Fruit Engagement Cake"
Ali,Imdad,4,2,25,Charity worker,"Saltley, Birmingham",9,IN,Italian Grissini,Sweet and Savoury Yin Yang Bread
Ali,Imdad,4,3,25,Charity worker,"Saltley, Birmingham",5,IN,"Coconut, Raspberry and Lemon Meringue Trifle",Vanilla Latte Mini CakesLime & Mint Shortbread Pops
Ali,Imdad,4,4,25,Charity worker,"Saltley, Birmingham",8,OUT,Apple and Ginger Pie with a Pecan and Walnut Shortcrust Pastry,"Orange, Cardamom and Date M'Hanncha"
Ali,Imdad,4,5,25,Charity worker,"Saltley, Birmingham",NA,NA,NA,NA
Ali,Imdad,4,6,25,Charity worker,"Saltley, Birmingham",NA,NA,NA,NA
Ali,Imdad,4,7,25,Charity worker,"Saltley, Birmingham",NA,NA,NA,NA
Ali,Imdad,4,8,25,Charity worker,"Saltley, Birmingham",NA,NA,NA,NA
Ali,Imdad,4,9,25,Charity worker,"Saltley, Birmingham",NA,NA,NA,NA
Ali,Imdad,4,10,25,Charity worker,"Saltley, Birmingham",NA,NA,NA,NA
Beca,Lyne-Pirkis,4,1,31,Military Wives' Choir Singer,"Aldershot, Hampshire",8,IN,Grapefruit Sandwich Cake,Chocolate Cherry Indulgence
Beca,Lyne-Pirkis,4,2,31,Military Wives' Choir Singer,"Aldershot, Hampshire",11,IN,Fennel and Chilli Breadsticks,Five Strand Christmas Wreath
Beca,Lyne-Pirkis,4,3,31,Military Wives' Choir Singer,"Aldershot, Hampshire",10,IN,Orange and Ginger Trifle,Limoncello and Blueberry BurstsMillionaire Shortbread
Beca,Lyne-Pirkis,4,4,31,Military Wives' Choir Singer,"Aldershot, Hampshire",2,IN,Mamgu's Cherry-Apple Tart,Moroccan Vegetable Filo Feast
Beca,Lyne-Pirkis,4,5,31,Military Wives' Choir Singer,"Aldershot, Hampshire",5,IN,"Chocolate, Cherry and Hazelnut Brownies",Tiered Macaron and Sugar Dough Biscuit Centrepiece
Beca,Lyne-Pirkis,4,6,31,Military Wives' Choir Singer,"Aldershot, Hampshire",6,IN,Bara Brith,Chocolate and Rum-Soaked Prune BriochesCardamom Spiced Lemon Iced Buns
Beca,Lyne-Pirkis,4,7,31,Military Wives' Choir Singer,"Aldershot, Hampshire",1,IN,Spring Lamb and Vegetable Suet Puddingwith Redcurrant Gravy,Nectarine and Frangipane SquaresChocolate and Hazelnut Vol-au-ventsStrawberries and Cream Mille-feuille
Beca,Lyne-Pirkis,4,8,31,Military Wives' Choir Singer,"Aldershot, Hampshire",4,IN,"Potato, Spelt and Rosemary Focaccia",Spiced Butternut Squash and Pecan 'Cheese' Cake
Beca,Lyne-Pirkis,4,9,31,Military Wives' Choir Singer,"Aldershot, Hampshire",3,OUT,Stilton and Walnut MacaronsBeetroot and Salmon Choux PuffsWelsh Rarebit Tartlets,Banoffee Opera Cake
Beca,Lyne-Pirkis,4,10,31,Military Wives' Choir Singer,"Aldershot, Hampshire",NA,NA,NA,NA
Christine,Wallace,4,1,66,Director of an engraving company,"Didcot, Oxfordshire",3,IN,"Strawberry, Vanilla and Rosewater Summer Basket",Chocolate and Orange 'Fripperous' Hat Cake
Christine,Wallace,4,2,66,Director of an engraving company,"Didcot, Oxfordshire",4,IN,Mediterranean Breadsticks with Oregano,Double Plaited Loaf
Christine,Wallace,4,3,66,Director of an engraving company,"Didcot, Oxfordshire",4,STAR BAKER,Caribbean Pina Colada Trifle,Ninety-NinersSachertorte Parcels
Christine,Wallace,4,4,66,Director of an engraving company,"Didcot, Oxfordshire",7,IN,"Granny Rogers' Apple, Plum & Cinnamon Country Pie",Roasted Vegetable Filo Pie with Feta Cheese
Christine,Wallace,4,5,66,Director of an engraving company,"Didcot, Oxfordshire",1,STAR BAKER,Mixed Berry and Almond Crumble Traybake,Shortbread Bavarian Clock Tower
Christine,Wallace,4,6,66,Director of an engraving company,"Didcot, Oxfordshire",4,IN,Oxford Nutty Fruit Loaf,Schnecken BunsVanilla Custard Skolebrød
Christine,Wallace,4,7,66,Director of an engraving company,"Didcot, Oxfordshire",6,IN,Spotted Dick 'With a Kick'and Vanilla Custard Ice Cream,Eccles CakesFresh Fruit BasketsLemon Cream Eton Mess Mille-feuille
Christine,Wallace,4,8,66,Director of an engraving company,"Didcot, Oxfordshire",5,OUT,"Multi-Seeded Loaf with Pumpkin, Sesame and Sunflower Seeds",Sweet Potato Guitar with Passion Fruit Icing and Marshmallow Fondant
Christine,Wallace,4,9,66,Director of an engraving company,"Didcot, Oxfordshire",NA,NA,NA,NA
Christine,Wallace,4,10,66,Director of an engraving company,"Didcot, Oxfordshire",NA,NA,NA,NA
Deborah,Manger,4,1,51,Dentist,Peterborough,9,IN,Pineapple Cake,'Coffee Time'
Deborah,Manger,4,2,51,Dentist,Peterborough,8,IN,Fennel & Chilli Breadsticks,Walnut Fleur Loaf
Deborah,Manger,4,3,51,Dentist,Peterborough,9,OUT,Tropical Trifle*,Canelé Cherry and Chocolate CakesRose Cookies
Deborah,Manger,4,4,51,Dentist,Peterborough,NA,NA,NA,NA
Deborah,Manger,4,5,51,Dentist,Peterborough,NA,NA,NA,NA
Deborah,Manger,4,6,51,Dentist,Peterborough,NA,NA,NA,NA
Deborah,Manger,4,7,51,Dentist,Peterborough,NA,NA,NA,NA
Deborah,Manger,4,8,51,Dentist,Peterborough,NA,NA,NA,NA
Deborah,Manger,4,9,51,Dentist,Peterborough,NA,NA,NA,NA
Deborah,Manger,4,10,51,Dentist,Peterborough,NA,NA,NA,NA
Frances,Quinn,4,1,31,Children's Clothes Designer,"Market Harborough, Leicestershire",7,IN,Giant Jam Sandwich,Secret Squirrel Cake
Frances,Quinn,4,2,31,Children's Clothes Designer,"Market Harborough, Leicestershire",2,IN,Giant Matchsticks,Sailor's Knot
Frances,Quinn,4,3,31,Children's Clothes Designer,"Market Harborough, Leicestershire",8,IN,Apple and Blackberry Crumble Trifle,'Ballet Bites' Ginger NutcrackersSugar Plum Fairy Cakes
Frances,Quinn,4,4,31,Children's Clothes Designer,"Market Harborough, Leicestershire",1,IN,Peach Pie In the Sky,Cherry Tree Baklava Filo Pie
Frances,Quinn,4,5,31,Children's Clothes Designer,"Market Harborough, Leicestershire",3,IN,Millionaire Banoffee Bonus,Biscuit Buttons and Beads
Frances,Quinn,4,6,31,Children's Clothes Designer,"Market Harborough, Leicestershire",2,IN,Chai Tea Loaf,Hot Cross BriochesRhubarb and Custard Kolaches
Frances,Quinn,4,7,31,Children's Clothes Designer,"Market Harborough, Leicestershire",5,STAR BAKER,Figgy Roll-y Poly Puddingwith Caramelised Walnut and Honey Ice-Cream,French Framboise Cream HornsSheet Music Mille-feuilleBass Clef Palmiers
Frances,Quinn,4,8,31,Children's Clothes Designer,"Market Harborough, Leicestershire",3,IN,'Chelsea Flour Show' Bun Bouquet,"Hidden Carrot Cake (Ground Praline, Beetroot and Walnut)"
Frances,Quinn,4,9,31,Children's Clothes Designer,"Market Harborough, Leicestershire",2,IN,"Legume Canapés:
Chantenay CarrotsChoux Pastry TomatoesCauliflower Cheese Scones",Great British Soap Opera Cake
Frances,Quinn,4,10,31,Children's Clothes Designer,"Market Harborough, Leicestershire",3,WINNER,Rainbow Picnic Pie,Midsummer Night's Dream Wedding Cake
Glenn,Cosby,4,1,37,English Teacher,"Teignmouth, Devon",4,IN,Strawberries and Cream Cake,Almond and Espresso Chocolate Cake
Glenn,Cosby,4,2,37,English Teacher,"Teignmouth, Devon",7,IN,Rosemary and Parmesan Grissini,Harvest Crown
Glenn,Cosby,4,3,37,English Teacher,"Teignmouth, Devon",1,IN,Raspberry and Almond Trifle,Billionaire BouchéesOrange Financiers
Glenn,Cosby,4,4,37,English Teacher,"Teignmouth, Devon",9,IN,Apple & Maple Syrup Pie,Spanakopita (Walnut and Feta Cheese)
Glenn,Cosby,4,5,37,English Teacher,"Teignmouth, Devon",2,IN,Apricot and Pistachio Tiffin,Shortbread and Macaron Helter-Skelter
Glenn,Cosby,4,6,37,English Teacher,"Teignmouth, Devon",5,IN,Devonshire Panettone,Almond and Apricot BriochesSticky Caramel Kanelbullen
Glenn,Cosby,4,7,37,English Teacher,"Teignmouth, Devon",3,OUT,Prune and Armagnac Puddingwith Boozy Butterscotch Sauce,Caramelised Apple and Marzipan TartletsChocolate Elephant EarsPassion Fruit Mille-feuille
Glenn,Cosby,4,8,37,English Teacher,"Teignmouth, Devon",NA,NA,NA,NA
Glenn,Cosby,4,9,37,English Teacher,"Teignmouth, Devon",NA,NA,NA,NA
Glenn,Cosby,4,10,37,English Teacher,"Teignmouth, Devon",NA,NA,NA,NA
Howard,Middleton,4,1,51,Council Worker,Sheffield,6,IN,Passion Fruit and Coconut Cake,Black Forest Revisited
Howard,Middleton,4,2,51,Council Worker,Sheffield,10,IN,Moroccan Breadsticks,Picasso Sun Bread
Howard,Middleton,4,3,51,Council Worker,Sheffield,7,IN,Caramel and Apple Trifle*,Black Coffee and Cardamom CakesWhite Stilton and Pear Biscuits
Howard,Middleton,4,4,51,Council Worker,Sheffield,5,IN,Apple Pie with Sage Pastry,Fresh Fig and Feta Filo Flan
Howard,Middleton,4,5,51,Council Worker,Sheffield,8,IN,Breakfast Traybake,Japanese Pagoda Tea Tower
Howard,Middleton,4,6,51,Council Worker,Sheffield,7,OUT,Date & Hemp Yorkshire Loaf,Peachy BunsGerman Baumschnecken
Howard,Middleton,4,7,51,Council Worker,Sheffield,NA,NA,NA,NA
Howard,Middleton,4,8,51,Council Worker,Sheffield,NA,NA,NA,NA
Howard,Middleton,4,9,51,Council Worker,Sheffield,NA,NA,NA,NA
Howard,Middleton,4,10,51,Council Worker,Sheffield,NA,NA,NA,NA
Kimberley,Wilson,4,1,30,Psychologist,London,10,IN,Blood Orange Cake,"Chocolate, Raspberry & Basil Layer Cake"
Kimberley,Wilson,4,2,30,Psychologist,London,1,IN,Nigella Seed and Parmesan Breadsticks,Peace Bread
Kimberley,Wilson,4,3,30,Psychologist,London,6,IN,"Peach, Almond and Ginger Trifle",Chocolate Pistachio FinanciersLemon Bergamot Biscuits
Kimberley,Wilson,4,4,30,Psychologist,London,4,STAR BAKER,Pecan and Rosemary Caramel Apple Pie,"Chicken, Bacon and Butternut Squash Pie"
Kimberley,Wilson,4,5,30,Psychologist,London,7,IN,Cherry and Almond Bakewell Florentine Slice,Black and White Viennese Biscuit Stack
Kimberley,Wilson,4,6,30,Psychologist,London,3,IN,Chai Spiced Ginger and Date Tea Loaf,Double Chocolate and Hazelnut BriochesDanish Kanelsnurrer
Kimberley,Wilson,4,7,30,Psychologist,London,4,IN,Barberry and Apple Spotted Dickwith Maple Syrup and White Chocolate Custard,"Pear, Malt and Butterscotch Mille-feuilleBlackberry and Lemon Verbena Crème Brûle Custard TartsFig, Orange and Thyme Galette"
Kimberley,Wilson,4,8,30,Psychologist,London,2,IN,Wild Garlic Pesto and Parma Ham Spelt Loaf,Butternut Squash and Spice Cake Toadstool House
Kimberley,Wilson,4,9,30,Psychologist,London,1,STAR BAKER,Pea Purée TartsCrab and Wasabi ProfiterolesSteamed Buns with Barbecue Chicken,Passion Fruit and Lime Opera Cake
Kimberley,Wilson,4,10,30,Psychologist,London,1,Runner-up,Chicken and Pig Pie,Languages of Love Wedding Cake
Lucy,Bellamy,4,1,38,Horticulturist,"Grimsby, Lincolnshire",2,IN,Timperley Early Cake,Thyme 'Wildwood' Cake
Lucy,Bellamy,4,2,38,Horticulturist,"Grimsby, Lincolnshire",12,OUT,Grissini with Salt,Roast Tomato Bread
Lucy,Bellamy,4,3,38,Horticulturist,"Grimsby, Lincolnshire",NA,NA,NA,NA
Lucy,Bellamy,4,4,38,Horticulturist,"Grimsby, Lincolnshire",NA,NA,NA,NA
Lucy,Bellamy,4,5,38,Horticulturist,"Grimsby, Lincolnshire",NA,NA,NA,NA
Lucy,Bellamy,4,6,38,Horticulturist,"Grimsby, Lincolnshire",NA,NA,NA,NA
Lucy,Bellamy,4,7,38,Horticulturist,"Grimsby, Lincolnshire",NA,NA,NA,NA
Lucy,Bellamy,4,8,38,Horticulturist,"Grimsby, Lincolnshire",NA,NA,NA,NA
Lucy,Bellamy,4,9,38,Horticulturist,"Grimsby, Lincolnshire",NA,NA,NA,NA
Lucy,Bellamy,4,10,38,Horticulturist,"Grimsby, Lincolnshire",NA,NA,NA,NA
Mark,Onley,4,1,37,Carpenter and Kitchen Fitter,Milton Keynes,5,IN,Lemon and Poppy Seed Cake,Chocolate Monster
Mark,Onley,4,2,37,Carpenter and Kitchen Fitter,Milton Keynes,6,IN,Rosemary & Raisin Breadsticks,Sage & Garlic Plait
Mark,Onley,4,3,37,Carpenter and Kitchen Fitter,Milton Keynes,11,OUT,"Ginger, Mango and Passion Fruit Trifle",Rose and Pistachio MacaroonsChocolate and Raspberry Bites
Mark,Onley,4,4,37,Carpenter and Kitchen Fitter,Milton Keynes,NA,NA,NA,NA
Mark,Onley,4,5,37,Carpenter and Kitchen Fitter,Milton Keynes,NA,NA,NA,NA
Mark,Onley,4,6,37,Carpenter and Kitchen Fitter,Milton Keynes,NA,NA,NA,NA
Mark,Onley,4,7,37,Carpenter and Kitchen Fitter,Milton Keynes,NA,NA,NA,NA
Mark,Onley,4,8,37,Carpenter and Kitchen Fitter,Milton Keynes,NA,NA,NA,NA
Mark,Onley,4,9,37,Carpenter and Kitchen Fitter,Milton Keynes,NA,NA,NA,NA
Mark,Onley,4,10,37,Carpenter and Kitchen Fitter,Milton Keynes,NA,NA,NA,NA
Robert,Smart,4,1,54,Space Satellite Designer,"Melbourn, Cambridgeshire",1,STAR BAKER,Pecan and Apple Cake,Raspberry Chocolate Cake
Robert,Smart,4,2,54,Space Satellite Designer,"Melbourn, Cambridgeshire",5,IN,Twisty Rye Bread Sticks,Tribute Loaf
Robert,Smart,4,3,54,Space Satellite Designer,"Melbourn, Cambridgeshire",2,IN,Rhubarb and Orange Trifle,Almond FriandsTurǫn Macaroons
Robert,Smart,4,4,54,Space Satellite Designer,"Melbourn, Cambridgeshire",3,IN,Apple and Pear Pie with Thyme,Spanakopita with St George's Mushrooms
Robert,Smart,4,5,54,Space Satellite Designer,"Melbourn, Cambridgeshire",4,OUT,Blueberry & Orange Traybake,Dalek
Robert,Smart,4,6,54,Space Satellite Designer,"Melbourn, Cambridgeshire",NA,NA,NA,NA
Robert,Smart,4,7,54,Space Satellite Designer,"Melbourn, Cambridgeshire",NA,NA,NA,NA
Robert,Smart,4,8,54,Space Satellite Designer,"Melbourn, Cambridgeshire",NA,NA,NA,NA
Robert,Smart,4,9,54,Space Satellite Designer,"Melbourn, Cambridgeshire",NA,NA,NA,NA
Robert,Smart,4,10,54,Space Satellite Designer,"Melbourn, Cambridgeshire",NA,NA,NA,NA
Ruby,Tandoh,4,1,20,History of Art and Philosophy Student,"Southend, Essex",12,IN,Rhubarb and Custard Sandwich Cake,Chocolate and Ginger Night Sky Cake
Ruby,Tandoh,4,2,20,History of Art and Philosophy Student,"Southend, Essex",3,STAR BAKER,Mexican Breadsticks,White Chocolate and Orange Peacock Bread
Ruby,Tandoh,4,3,20,History of Art and Philosophy Student,"Southend, Essex",3,IN,Desert Island Trifle,Lemon Shortbread and White Chocolate SeashellsBlackberry and Chocolate Layer Cakes
Ruby,Tandoh,4,4,20,History of Art and Philosophy Student,"Southend, Essex",6,IN,Apple and Marzipan Pie,"Rose, Almond and Raspberry Filo Pie"
Ruby,Tandoh,4,5,20,History of Art and Philosophy Student,"Southend, Essex",6,IN,Blackberry and Lemon Bakewell Slice,'Dropped Ice-Cream' Biscuit Centrepiece
Ruby,Tandoh,4,6,20,History of Art and Philosophy Student,"Southend, Essex",1,STAR BAKER,Citrus Tea Loaf,Twisted Swedish KanelbullarSaffron St. Lucia Buns
Ruby,Tandoh,4,7,20,History of Art and Philosophy Student,"Southend, Essex",2,IN,Plum Jam Roly-Polywith Ginger Ice cream,Raspberry and Passion Fruit Mille-feuilleCaramelised Apple LatticePortuguese Custard Tarts
Ruby,Tandoh,4,8,20,History of Art and Philosophy Student,"Southend, Essex",1,STAR BAKER,Mango and Nigella Seed Spelt Cob,Carrot Cake and Pistachio Garden Plot
Ruby,Tandoh,4,9,20,History of Art and Philosophy Student,"Southend, Essex",4,IN,"Beetroot Jelly on Poppy Seed BiscuitsSpinach, Parmesan and Egg TartletsChoux Buns with Goat's Cheese and Caramelised Onions","Chocolate, Almond Praline and Saffron Opera Cake"
Ruby,Tandoh,4,10,20,History of Art and Philosophy Student,"Southend, Essex",2,Runner-up,Picnic Basket Pie,"Raspberry, Lemon and Passion Fruit Wedding Cake"
Toby,Waterworth,4,1,30,Web Programmer,"Reading, Berkshire",13,OUT,Spiced and Iced Carrot Cake,Two Tiered Chocolate Cake
Toby,Waterworth,4,2,30,Web Programmer,"Reading, Berkshire",NA,NA,NA,NA
Toby,Waterworth,4,3,30,Web Programmer,"Reading, Berkshire",NA,NA,NA,NA
Toby,Waterworth,4,4,30,Web Programmer,"Reading, Berkshire",NA,NA,NA,NA
Toby,Waterworth,4,5,30,Web Programmer,"Reading, Berkshire",NA,NA,NA,NA
Toby,Waterworth,4,6,30,Web Programmer,"Reading, Berkshire",NA,NA,NA,NA
Toby,Waterworth,4,7,30,Web Programmer,"Reading, Berkshire",NA,NA,NA,NA
Toby,Waterworth,4,8,30,Web Programmer,"Reading, Berkshire",NA,NA,NA,NA
Toby,Waterworth,4,9,30,Web Programmer,"Reading, Berkshire",NA,NA,NA,NA
Toby,Waterworth,4,10,30,Web Programmer,"Reading, Berkshire",NA,NA,NA,NA
Chetna,Makan,5,1,35,Fashion Designer,"Broadstairs, Kent",3,IN,"Cardamom, Pistachio and Coffee Swiss Roll",Tiered Victoria Sponges with Lemon Curd and Raspberry Cream
Chetna,Makan,5,2,35,Fashion Designer,"Broadstairs, Kent",8,IN,Fenugreek and Carom Crackers,Day On The Beach
Chetna,Makan,5,3,35,Fashion Designer,"Broadstairs, Kent",8,IN,Onion and Pine Nut Rolls,Rolled and Filled Twin Loaf
Chetna,Makan,5,4,35,Fashion Designer,"Broadstairs, Kent",3,IN,"Rhubarb, Strawberry and Orange Puddings","Mango, Raspberry and Coconut Baked Alaska"
Chetna,Makan,5,5,35,Fashion Designer,"Broadstairs, Kent",2,IN,Rice Custard Tart with Mangoes and Raspberries,Fusion Tiered Pies
Chetna,Makan,5,6,35,Fashion Designer,"Broadstairs, Kent",2,STAR BAKER,Orange Savarin with Cinnamon Cream,Almond Liqueur Dobos Torte with Chocolate Caramel Buttercream
Chetna,Makan,5,7,35,Fashion Designer,"Broadstairs, Kent",6,IN,Crispy Lentil Kachori,Chocolate and Mango & Lemon Meringue Éclairs
Chetna,Makan,5,8,35,Fashion Designer,"Broadstairs, Kent",1,IN,Date and Walnut Swirl Bread,Chocolate Mousse Filled DoughnutsBraided Doughnuts
